,00097399,Cosmético,13/08/2018,-,verdadero,variable,value
88,28530,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
89,28677,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
90,28864,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
91,28909,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
92,29029,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
93,29103,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
94,29270,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
95,29407,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
96,29509,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
97,29511,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
98,29512,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
99,29514,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
100,29515,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
101,29516,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
102,29517,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
103,29518,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
104,29577,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
105,29521,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
106,29523,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
107,29524,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
108,29525,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
109,29529,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
110,29530,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
111,29531,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
112,29533,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
113,29536,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
114,29538,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
115,29539,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
116,29540,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
117,29542,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
118,29545,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
119,29546,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
120,29547,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
121,29548,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
122,29549,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
123,29551,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
124,29553,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
125,29554,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
126,29555,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
127,29556,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
128,29558,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
129,29560,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
130,29562,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
131,29563,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
132,29564,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
133,29565,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
134,29567,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
135,29568,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
136,29569,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
137,29576,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
138,29579,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
139,29580,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
140,29582,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
141,29583,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
142,29587,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
143,29588,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
144,29589,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
145,29590,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
146,29591,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
147,29595,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
148,29598,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
149,29602,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
150,29603,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
151,29605,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
152,29608,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
153,29609,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
154,29612,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
155,29618,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
156,29621,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
157,29625,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
158,29629,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
159,29632,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
160,29633,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
161,29636,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
162,29639,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
163,29641,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
164,29647,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
165,29648,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
166,29649,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
167,29651,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
168,29653,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
169,29654,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
170,29659,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
171,29660,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
172,29663,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
173,29667,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
174,29668,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
175,29673,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
176,29800,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
177,29674,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
178,29678,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
179,29683,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
180,29685,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
181,29693,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
182,29694,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
183,29704,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
184,29707,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
185,29709,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
186,29712,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
187,29713,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
188,29716,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
189,29717,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
