,00097399,Cosmético,13/08/2018,-,verdadero,variable,value
4123,29807,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4124,29811,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4125,29814,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4126,29818,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4127,29821,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4128,29826,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4129,29835,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4130,29836,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4131,29839,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4132,29840,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4133,29843,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4134,29846,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4135,29849,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4136,29851,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4137,29855,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4138,29860,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4139,29871,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4140,29876,Cosmético,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4141,29879,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4142,29882,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4143,29884,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4144,29886,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4145,29892,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4146,29896,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4147,29899,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4148,29904,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4149,29906,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4150,29908,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4151,29913,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4152,29914,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4153,29918,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4154,29920,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4155,29925,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4156,29933,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4157,29946,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4158,29950,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4159,29952,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4160,29965,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4161,29970,Cosmético,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4162,29973,Cosmético,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4163,29975,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4164,29976,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4165,29982,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4166,29989,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4167,29994,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4168,29995,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4169,30000,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4170,30005,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4171,30012,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4172,30021,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4173,30026,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4174,30027,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4175,30030,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4176,30032,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4177,30034,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4178,30036,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4179,30038,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4180,30040,Cosmético,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4181,30046,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4182,30052,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4183,30054,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4184,30057,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4185,30061,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4186,30062,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4187,30064,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4188,30073,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4189,30075,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4190,30076,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4191,30079,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4192,30080,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4193,30081,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4194,30087,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4195,30088,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4196,30094,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4197,30095,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4198,30121,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4199,30127,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4200,30137,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4201,30144,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4202,30149,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4203,30150,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4204,30155,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4205,30157,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4206,30160,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4207,30161,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4208,30162,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4209,30164,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4210,30165,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4211,30166,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4212,30167,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4213,30170,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4214,30172,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4215,30175,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4216,30177,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4217,30178,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4218,30179,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4219,30181,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4220,30182,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4221,30226,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4222,30227,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4223,30187,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4224,30189,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4225,30190,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4226,30191,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4227,30201,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4228,30202,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4229,30207,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4230,30208,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4231,30209,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4232,30215,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4233,30219,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4234,30220,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4235,30221,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4236,30222,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4237,30223,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4238,30230,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4239,30231,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4240,30232,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4241,30235,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4242,30236,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4243,30237,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4244,30238,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4245,30239,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4246,30240,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4247,30243,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4248,30244,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4249,30245,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4250,30246,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4251,30247,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4252,30248,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4253,30249,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4254,30250,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4255,30251,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4256,30254,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4257,30259,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4258,30261,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4259,30263,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4260,30267,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4261,30275,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4262,30276,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4263,30278,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4264,30282,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4265,30286,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4266,30287,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4267,30288,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4268,30290,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4269,30293,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4270,30295,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4271,30296,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4272,30297,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4273,30300,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4274,30302,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4275,30303,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4276,30304,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4277,30305,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4278,30306,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4279,30311,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4280,30312,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4281,30314,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4282,30315,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4283,30316,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4284,30317,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4285,30320,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4286,30321,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4287,30322,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4288,30327,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4289,30328,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4290,30329,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4291,30330,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4292,30331,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4293,30335,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4294,30337,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4295,30338,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4296,30339,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4297,30343,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4298,30347,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4299,30350,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4300,30356,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4301,30357,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4302,30359,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4303,30361,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4304,30370,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4305,30371,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4306,30372,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4307,30374,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4308,30375,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4309,30376,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4310,30385,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4311,30386,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4312,30388,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4313,30380,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4314,30381,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4315,30391,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4316,30392,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4317,30393,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4318,30395,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4319,30401,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4320,30403,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4321,30404,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4322,30406,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4323,30423,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,verdadero
4324,30429,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4325,30431,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4326,30434,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4327,30436,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4328,30444,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4329,30445,Medicinal,02/07/2018,02/07/2018,verdadero,verdadero.1,falso
4330,30446,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4331,30449,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4332,30450,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4333,30457,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4334,30459,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4335,30460,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4336,30462,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4337,30463,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4338,30466,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4339,30467,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4340,30468,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4341,30470,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4342,30471,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4343,30472,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4344,30473,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4345,30476,Medicinal,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4346,30477,Cosmético,02/07/2018,04/07/2018,verdadero,verdadero.1,falso
4347,30482,Medicinal,02/07/2018,-,verdadero,verdadero.1,falso
4348,30490,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4349,30491,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4350,30493,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4351,30494,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4352,30495,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4353,30498,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4354,30499,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4355,30500,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4356,30501,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4357,30503,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4358,30506,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4359,30508,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4360,30509,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4361,30510,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4362,30511,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4363,30512,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4364,30513,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4365,30514,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4366,30515,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4367,30517,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4368,30518,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4369,30521,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4370,30522,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4371,30524,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4372,30525,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4373,30526,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4374,30528,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4375,30530,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4376,30532,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4377,30533,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4378,30534,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4379,30535,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4380,30538,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4381,30542,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4382,30543,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4383,30544,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4384,30545,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4385,30546,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4386,30547,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4387,30549,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4388,30550,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4389,30551,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4390,30553,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4391,30554,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4392,30555,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4393,30556,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4394,30557,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4395,30558,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4396,30560,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4397,30562,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4398,30563,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4399,30564,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4400,30568,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4401,30570,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4402,30572,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4403,30573,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4404,30574,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4405,30576,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4406,30578,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4407,30580,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4408,30583,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4409,30621,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4410,30590,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4411,30592,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4412,30593,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4413,30594,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4414,30595,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4415,30596,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4416,30600,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4417,30603,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4418,30606,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4419,30607,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4420,30609,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4421,30610,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4422,30612,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4423,30616,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4424,30618,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4425,30624,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4426,30625,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4427,30626,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4428,30629,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4429,30630,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4430,30632,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4431,30636,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4432,30637,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4433,30639,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4434,30640,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4435,30641,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4436,30642,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4437,30648,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4438,30649,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4439,30650,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4440,30651,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4441,30655,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4442,30660,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4443,30664,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4444,30667,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4445,30673,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4446,30677,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4447,30678,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4448,30680,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4449,30683,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4450,30685,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4451,30687,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4452,30689,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4453,30693,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4454,30694,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4455,30695,Medicinal,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4456,30697,Cosmético,03/07/2018,03/07/2018,verdadero,verdadero.1,falso
4457,30698,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4458,30708,Cosmético,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4459,30710,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4460,30711,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4461,30712,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
4462,30715,Medicinal,03/07/2018,04/07/2018,verdadero,verdadero.1,falso
